theorem_id,candidate_idx,num_hyps,proof_effort,was_picked,theorem_ok
prop_85,14,5,9,0,0
prop_85,15,2,3,0,0
prop_85,16,2,7,0,0
prop_85,17,5,8,0,0
prop_85,18,4,5,0,0
prop_85,19,4,6,0,0
prop_85,20,2,7,0,0
prop_85,21,4,7,0,0
prop_85,22,2,10,0,0
prop_85,23,2,7,0,0
prop_85,24,2,8,0,0
prop_85,25,2,13,0,0
prop_85,26,5,6,0,0
prop_85,27,2,12,0,0
prop_85,28,2,8,0,0
prop_85,29,5,9,0,0
prop_53,0,2,2,0,1
prop_53,1,1,1,0,1
prop_53,2,1,1,0,1
prop_53,3,2,3,0,1
prop_53,4,0,0,1,1
prop_53,5,2,2,0,1
prop_55,0,2,5,1,0
prop_55,1,3,3,0,0
prop_55,2,1,1,0,0
prop_55,3,3,3,0,0
prop_55,4,2,5,0,0
prop_55,5,2,3,0,0
prop_55,6,2,2,0,0
prop_55,7,2,3,0,0
prop_55,8,2,4,0,0
prop_55,9,1,1,0,0
prop_55,10,4,4,0,0
prop_55,11,2,4,0,0
prop_55,12,3,6,0,0
prop_55,13,2,6,0,0
prop_55,14,3,8,0,0
prop_55,15,3,5,0,0
prop_55,16,3,6,0,0
prop_55,17,2,4,0,0
prop_55,18,2,5,0,0
prop_55,19,2,4,0,0
prop_55,20,3,3,0,0
prop_55,21,0,0,0,0
prop_55,22,2,4,0,0
prop_55,23,2,3,0,0
prop_55,24,2,4,0,0
prop_55,25,2,3,0,0
prop_55,26,2,2,0,0
prop_55,27,2,3,0,0
prop_55,28,2,5,0,0
prop_55,29,3,5,0,0
prop_57,0,0,0,0,0
prop_57,1,4,6,0,0
prop_57,2,4,9,0,0
prop_57,3,4,9,0,0
prop_57,4,4,8,0,0
prop_57,5,3,3,0,0
prop_57,6,3,6,0,0
prop_57,7,4,10,0,0
prop_57,8,1,5,0,0
prop_57,9,4,6,0,0
prop_57,10,4,7,0,0
prop_57,11,3,7,0,0
prop_57,12,3,5,0,0
prop_57,13,4,8,0,0
prop_57,14,4,6,0,0
prop_57,15,4,7,0,0
prop_57,16,2,2,0,0
prop_57,17,4,7,0,0
prop_57,18,4,7,0,0
prop_57,19,4,7,0,0
prop_57,20,1,1,0,0
prop_57,21,4,7,0,0
prop_57,22,4,8,0,0
prop_57,23,1,1,0,0
prop_57,24,3,5,0,0
prop_57,25,3,5,0,0
prop_57,26,4,8,0,0
prop_57,27,4,8,0,0
prop_57,28,4,6,1,0
prop_57,29,2,2,0,0
